,dt,temperature,humidity
164,2023-05-24 19:19:38.682399+02:00,19.3,42.7
165,2023-05-24 19:20:38.627369+02:00,19.3,42.8
166,2023-05-24 19:21:38.716770+02:00,19.3,43.2
167,2023-05-24 19:22:38.672400+02:00,19.3,43.6
168,2023-05-24 19:23:38.771979+02:00,19.3,44.0
169,2023-05-24 19:24:38.840764+02:00,19.3,43.8
170,2023-05-24 19:25:38.871626+02:00,19.2,44.4
171,2023-05-24 19:26:38.954183+02:00,19.3,44.9
172,2023-05-24 19:27:38.954488+02:00,19.3,45.0
173,2023-05-24 19:28:39.085270+02:00,19.2,45.2
174,2023-05-24 19:29:39.074041+02:00,19.2,45.3
175,2023-05-24 19:30:39.086728+02:00,19.2,45.7
176,2023-05-24 19:31:39.086509+02:00,19.2,45.6
177,2023-05-24 19:32:39.173262+02:00,19.2,45.8
178,2023-05-24 19:33:39.210180+02:00,19.2,46.1
179,2023-05-24 19:34:39.250947+02:00,19.2,46.1
180,2023-05-24 19:35:39.329093+02:00,19.2,46.0
181,2023-05-24 19:36:39.540090+02:00,19.2,46.3
182,2023-05-24 19:37:39.413595+02:00,19.2,46.5
183,2023-05-24 19:38:39.474134+02:00,19.2,46.7
184,2023-05-24 19:39:39.533904+02:00,19.2,46.5
185,2023-05-24 19:40:39.657314+02:00,19.2,46.6
186,2023-05-24 19:41:39.567068+02:00,19.2,46.7
187,2023-05-24 19:42:39.648348+02:00,19.2,47.2
188,2023-05-24 19:43:39.964320+02:00,19.2,47.2
189,2023-05-24 19:44:39.768404+02:00,19.2,47.1
190,2023-05-24 19:45:39.902646+02:00,19.2,47.4
191,2023-05-24 19:46:39.851789+02:00,19.2,47.4
192,2023-05-24 19:47:39.922418+02:00,19.2,47.5
193,2023-05-24 19:48:39.928666+02:00,19.1,47.3
194,2023-05-24 19:49:40.047730+02:00,19.2,47.4
195,2023-05-24 19:50:40.044488+02:00,19.1,47.6
196,2023-05-24 19:51:40.039488+02:00,19.2,47.9
197,2023-05-24 19:52:40.157910+02:00,19.1,48.0
198,2023-05-24 19:53:40.187873+02:00,19.1,48.5
199,2023-05-24 19:54:40.203612+02:00,19.2,48.6
200,2023-05-24 19:55:40.263554+02:00,19.2,48.8
